Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,-9999,Rook_Year,WS_Rk,WS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Viktor Khryapa,22,0.435,0.364,0.548,16.3,4.2,3.4,0.8,khryavi01,2005,1018,2,2004-05,2007-08,22-25,143,58,16.4,1.8,4,1.7,3.6,0.1,0.3,0.9,1.3,1.2,2.3,3.4,1,0.6,0.3,1,2.5,4.5,0.443,0.457,0.292,0.658,0.493,0.455,F,CHIPOR,98,108,0.1,1.9,0.041,-3.6,0.1,-3.5,-0.9,10.7,8.4,16.3,12.4,9.8,2,1.5,17.6,15.7
Brandin Knight,23,0,0,0,3,0,0,1,knighbr02,2005,1686,0,2004-05,2004-05,23-23,1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,G,HOU,53,111,0,0,-0.205,-4.1,-5.4,-9.4,0,-1.2,0,0,0,46.5,0,0,0,15.7
Nenad Krsti?,21,0.493,0,0.725,26.2,10,5.3,1,krstine01,2005,357,21.5,2004-05,2010-11,21-27,419,373,25.2,4.1,8.3,4.1,8.3,0,0,1.8,2.5,1.8,3.6,5.4,0.8,0.4,0.7,1.2,3,10,0.494,0.495,0.143,0.73,0.533,0.494,C,BOSNJNOKC,106,106,8.9,12.6,0.098,-2.1,-0.5,-2.6,-1.5,13.6,8.6,16.5,12.6,5.9,0.8,2.1,11.2,19.5
Ibo Kutluay,30,0,0,0,2.4,0,0.2,0,kutluib01,2005,1808,-0.1,2004-05,2004-05,30-30,5,0,2.4,0,0.2,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0.4,0.2,0,0,0,,,0,0,G,SEA,0,115,-0.1,0,-0.348,-15.8,-4.6,-20.3,-0.1,-12.9,0,10.2,5.1,0,0,0,66.7,11.6
Shaun Livingston,19,0.414,0,0.746,27.1,7.4,3,5,livinsh01,2005,250,29.9,2004-05,2018-19,19-33,833,191,20.6,2.6,5.3,2.6,5.2,0,0.1,1.1,1.4,0.6,1.8,2.4,3,0.7,0.4,1.2,1.8,6.3,0.486,0.491,0.178,0.794,0.531,0.488,G,BRKCHACLEGSWLACMIAMILOKCWAS,106,108,13.8,16.1,0.084,-1.5,0.5,-1,4.3,12.5,3.3,9.8,6.6,21.8,1.7,1.4,17.3,15.6
Kevin Martin,21,0.385,0.2,0.655,10.1,2.9,1.3,0.5,martike02,2005,79,61.3,2004-05,2015-16,21-32,714,504,30.2,5.4,12.3,3.8,8.2,1.6,4.2,5,5.7,0.6,2.6,3.2,1.9,0.9,0.1,1.7,1.9,17.4,0.437,0.464,0.384,0.87,0.585,0.502,G,HOUMINOKCSACSAS,115,111,49.3,12,0.137,2.1,-1.1,1,16.1,17.7,2.1,10,6.1,10.6,1.5,0.3,10.2,24.4
Jameer Nelson,22,0.455,0.312,0.682,20.4,8.7,2.4,3,nelsoja01,2005,123,48.3,2004-05,2017-18,22-35,878,639,27.9,4.3,9.9,3,6.3,1.3,3.6,1.4,1.7,0.5,2.5,3,5.1,0.9,0.1,2.1,2.5,11.3,0.436,0.474,0.368,0.81,0.532,0.502,G,BOSDALDENDETNOPORL,107,109,27.7,20.6,0.094,0.4,-0.5,-0.1,11.6,14.4,2,10,6.1,30.1,1.6,0.2,16.4,20.7
Andr?s Nocioni,25,0.401,0.258,0.766,23.4,8.4,4.8,1.5,nocioan01,2005,353,21.8,2004-05,2011-12,25-32,514,203,23.4,3.8,8.7,2.6,5.6,1.1,3.1,1.9,2.3,0.7,3.8,4.5,1.2,0.4,0.4,1.4,2.7,10.5,0.431,0.463,0.373,0.799,0.541,0.497,F,CHIPHISAC,103,105,7.1,14.7,0.087,-0.9,0,-0.9,3.4,12.9,3.4,18.5,10.9,8.5,0.9,1.4,12.6,21.3
Emeka Okafor,22,0.447,0,0.609,35.6,15.1,10.9,0.9,okafoem01,2005,139,45.3,2004-05,2017-18,22-35,616,603,30.9,4.9,9.5,4.9,9.5,0,0,2.2,3.8,3.2,6.5,9.7,0.8,0.7,1.6,1.6,2.8,12,0.512,0.512,0,0.586,0.535,0.512,C-F,CHANOHNOPWAS,106,103,17.5,27.8,0.114,-0.5,-0.1,-0.6,6.8,17,11.8,25.1,18.3,4.7,1.1,4.1,12.5,18.9
Pavel Podkolzin,20,0,0,0.5,2,0.2,0.4,0,podkopa01,2005,1822,-0.1,2004-05,2005-06,20-21,6,0,4.7,0,0.3,0,0.3,0,0,0.7,1.3,0,1.5,1.5,0,0,0.2,0.7,0.7,0.7,0,0,,0.5,0.362,0,C,DAL,44,100,-0.1,0,-0.163,-14.3,-0.7,-15,-0.1,-2.8,0,37.4,19,0,0,2.7,42,15.7
